2019年02月01日,"['晴', '/多云']","['10℃', '/', '1℃']"
2019年02月02日,"['多云', '/多云']","['10℃', '/', '2℃']"
2019年02月03日,"['多云', '/阴']","['12℃', '/', '1℃']"
2019年02月04日,"['多云', '/多云']","['13℃', '/', '1℃']"
2019年02月05日,"['多云', '/多云']","['14℃', '/', '1℃']"
2019年02月06日,"['阴', '/多云']","['4℃', '/', '-3℃']"
2019年02月07日,"['阴', '/小雪']","['0℃', '/', '-3℃']"
2019年02月08日,"['小雪', '/多云']","['0℃', '/', '-4℃']"
2019年02月09日,"['阴', '/小雪']","['1℃', '/', '-4℃']"
2019年02月10日,"['小雪', '/多云']","['-3℃', '/', '-5℃']"
2019年02月11日,"['多云', '/多云']","['7℃', '/', '-3℃']"
2019年02月12日,"['阴', '/阴']","['4℃', '/', '-2℃']"
2019年02月13日,"['小雪', '/小雪']","['1℃', '/', '-2℃']"
2019年02月14日,"['小雪', '/多云']","['-1℃', '/', '-6℃']"
2019年02月15日,"['多云', '/多云']","['4℃', '/', '-4℃']"
2019年02月16日,"['多云', '/多云']","['3℃', '/', '-3℃']"
2019年02月17日,"['阴', '/小雪']","['4℃', '/', '-2℃']"
2019年02月18日,"['小雪', '/多云']","['2℃', '/', '-4℃']"
2019年02月19日,"['多云', '/多云']","['8℃', '/', '-3℃']"
2019年02月20日,"['多云', '/晴']","['9℃', '/', '-2℃']"
2019年02月21日,"['多云', '/阴']","['9℃', '/', '-1℃']"
2019年02月22日,"['晴', '/多云']","['12℃', '/', '-1℃']"
2019年02月23日,"['多云', '/多云']","['13℃', '/', '0℃']"
2019年02月24日,"['多云', '/阴']","['12℃', '/', '0℃']"
2019年02月25日,"['多云', '/阴']","['14℃', '/', '3℃']"
2019年02月26日,"['阴', '/多云']","['9℃', '/', '1℃']"
2019年02月27日,"['多云', '/多云']","['12℃', '/', '2℃']"
2019年02月28日,"['多云', '/多云']","['14℃', '/', '4℃']"
